2500 3000
1766 1871 137
1526 247 45
2013 1983 16
106 727 2
774 307 81
1594 1491 192
1715 724 58
201 1350 123
786 1763 103
1269 1375 153
1349 1736 39
263 738 73
1793 2201 144
20 2482 171
1492 1646 185
215 2086 80
1900 1283 187
2120 151 194
186 517 9
389 2000 26
1897 270 132
2315 1503 171
2038 99 78
399 1852 89
1964 1554 106
742 1268 63
2156 1582 96
2119 1873 95
2171 39 122
1446 2024 44
2366 2219 136
1938 2100 100
693 555 125
32 567 30
223 2057 19
1876 1693 111
862 633 129
523 1150 78
1827 1849 79
278 2339 176
1445 1126 140
2322 1341 41
467 1582 149
48 2452 108
2052 611 158
2078 510 4
1577 541 24
75 455 170
1907 2486 200
549 1431 174
1659 817 85
374 32 5
2284 792 23
511 988 165
569 995 180
1524 710 58
1642 1786 78
1524 2273 29
1436 1050 118
1510 244 68
1266 1591 92
370 1539 5
1277 2213 192
194 910 21
698 163 129
1101 260 43
941 90 95
143 1621 87
1147 465 87
1272 944 67
1475 946 189
2350 828 155
1505 782 47
1258 2286 115
351 333 74
2444 2313 33
2384 740 169
90 184 10
1988 1296 46
1913 1140 136
1749 1480 8
1231 1455 2
1441 2044 119
913 1878 24
1473 1984 86
2187 1221 58
2203 1940 7
2277 925 53
538 1536 100
817 1891 168
2107 1222 176
1521 293 166
548 1759 85
1532 330 183
206 1163 90
924 871 143
1783 1697 181
2470 1573 116
1052 2237 156
175 978 155
2230 883 52
2270 1238 102
677 1105 74
1662 1198 196
2126 486 63
1730 61 119
1574 580 110
2163 225 175
183 2476 16
1844 2447 133
2069 185 162
473 287 67
1090 2152 5
2234 595 77
599 1105 134
469 1185 18
465 2117 15
1567 2497 74
2149 11 197
942 792 67
590 1521 156
949 752 82
2272 1826 29
1174 955 110
1431 1239 192
1240 2354 49
68 2055 78
2491 1198 57
774 590 63
37 1930 89
540 86 42
1668 521 161
1048 2082 183
2107 1990 185
904 1961 63
1233 393 44
1564 1924 12
2241 693 44
2271 1420 50
1113 577 46
2487 2057 4
1365 1499 109
379 839 124
506 2412 194
618 944 28
2015 291 17
802 340 145
237 13 75
434 2241 2
184 1136 29
634 438 135
1078 1172 123
2264 2160 141
1869 283 49
367 791 28
1959 2072 107
1306 1002 35
1771 2056 108
1800 231 76
1304 1440 195
2489 1165 74
2049 359 81
2488 2265 114
1514 2453 171
2479 1767 105
1417 1150 178
338 1038 60
433 956 106
527 938 167
1415 656 91
1447 683 36
94 1437 47
1239 457 4
2215 600 42
1926 575 125
345 2364 150
1777 598 135
1648 2427 44
745 1093 162
2270 176 140
2197 1982 72
269 1714 67
1031 807 110
1791 1560 85
2047 260 104
607 392 94
697 584 151
58 2436 13
1668 870 166
1904 974 192
17 1150 116
119 1744 189
2498 212 92
1875 1064 126
2008 871 122
228 159 137
776 1222 177
1800 2420 42
1112 713 10
1136 764 31
1015 837 184
1033 2489 140
1206 2171 141
2369 892 129
2486 538 121
625 998 155
1204 495 163
1366 55 101
2303 2215 30
1795 1027 64
529 1749 80
1352 200 4
943 1781 17
291 99 59
1731 1054 152
763 445 50
486 2056 173
390 359 153
130 2141 61
547 1128 45
1423 937 74
1655 334 157
1052 392 135
1432 2323 80
703 1177 181
770 389 30
886 2003 11
1328 1775 161
100 43 56
1894 1066 129
2073 1785 127
1299 524 2
1588 1589 198
1653 1676 151
679 1456 94
631 2407 132
490 166 122
128 2465 41
1114 390 111
489 1264 121
689 1322 65
1004 2255 123
317 855 187
1426 2025 19
2303 121 60
489 683 142
75 1501 167
1223 755 153
851 1517 27
987 1603 138
1402 402 150
968 103 66
1882 1844 111
2009 1490 59
185 622 107
1587 1488 172
2491 2473 119
2074 2354 82
163 497 14
1952 1616 5
2286 334 165
505 338 54
1285 1334 173
1922 1545 171
758 89 130
298 841 124
402 344 77
1732 1 49
1114 254 112
2194 1333 52
1815 1600 17
713 1835 50
2253 913 142
710 2451 181
70 2036 163
866 112 18
1012 764 122
107 846 44
2351 94 65
1943 2445 34
737 1503 26
60 454 8
1507 1544 130
252 1071 196
1229 42 60
721 216 145
2179 159 185
239 384 39
1238 1136 31
2283 2316 81
2022 2426 153
1705 447 13
505 546 26
1245 50 195
1030 133 10
2317 2430 162
1634 431 147
533 284 74
440 1881 36
2488 571 190
130 561 122
598 2190 164
445 1122 106
316 714 135
2000 638 16
1665 2059 112
884 1847 144
238 2332 56
2252 1852 91
1053 2296 21
1562 1861 168
274 535 134
192 1802 179
388 380 101
1616 210 73
62 2453 171
324 565 138
2051 1611 192
479 2444 162
2322 219 99
184 1934 96
2210 1073 69
1204 365 46
1850 1551 47
1143 2445 156
1460 769 86
302 769 48
107 688 136
310 865 34
1852 1641 26
1725 347 1
839 1032 22
718 1125 185
2316 2345 153
2020 1071 168
1420 2175 88
2031 2346 117
545 1700 163
1686 1116 122
1503 1042 5
574 734 53
312 2230 25
2160 2484 66
1346 1451 27
1092 1898 14
2372 1987 63
191 585 107
419 1623 120
2167 1219 192
960 2067 104
780 499 68
1346 1104 31
21 1026 135
822 1834 36
288 894 28
849 1625 93
1919 301 45
1432 1587 96
1509 1754 198
693 1122 20
1408 1572 23
562 1992 53
252 1524 166
2457 1981 62
966 24 101
829 1736 154
2113 1183 77
1158 290 93
200 1777 62
843 1632 61
1201 1639 81
2121 46 130
169 1642 163
835 1634 71
583 1 161
1365 1142 100
1337 166 34
1530 1328 55
1029 320 185
2111 169 18
1898 626 7
1411 964 49
2191 2470 145
1100 2144 156
2465 2038 159
2207 1912 15
2448 1294 130
1588 1581 86
1265 2235 77
1516 119 185
2348 649 148
556 833 182
838 2428 97
860 825 200
654 202 42
1905 730 16
566 1151 133
584 2220 97
1940 779 39
242 804 7
121 171 50
1706 2025 79
1788 1985 30
140 399 174
139 1316 3
1542 1986 64
2212 67 28
2084 1431 166
2083 483 32
736 791 13
757 803 49
1514 1127 98
2065 716 94
1908 938 19
1339 2425 71
1184 1346 129
1060 2484 22
38 1561 150
924 884 106
848 1814 187
1985 1910 35
1 1971 40
1158 669 57
1986 1093 23
2234 236 184
2328 2000 62
2091 2136 101
1480 1574 107
1886 2246 10
837 2482 140
2200 102 8
196 1220 85
1428 1856 161
2134 453 1
604 1689 199
1876 1570 105
1991 344 158
358 1320 76
1650 691 147
799 1968 147
510 81 80
482 708 120
2139 2426 100
771 2015 111
2356 1733 166
1119 1721 38
765 710 104
45 2051 142
1802 2345 28
1142 411 97
2325 2184 99
641 1132 171
1255 1036 104
1946 110 15
1033 418 31
319 2433 14
1591 962 133
1636 1518 46
1822 1819 6
1834 2222 47
2471 789 195
1009 2228 36
578 676 6
51 2143 55
319 1391 125
980 1366 155
672 1523 45
2268 10 11
1873 1553 75
1978 1198 171
2442 268 142
618 2469 66
2322 1156 128
1915 784 138
1933 1550 163
383 1536 193
136 1431 135
21 229 89
2225 1635 34
604 2126 123
283 761 66
1931 765 24
823 1987 109
2139 1132 166
1427 1863 164
879 1920 52
1242 316 77
1169 1522 99
2088 532 40
840 553 31
475 782 143
1619 401 101
1735 607 81
2291 1924 200
669 486 35
456 45 45
709 801 20
519 1350 148
81 1800 49
685 1120 133
841 1889 171
1798 1434 141
123 2046 141
728 751 83
1748 600 51
231 897 105
1332 1306 52
1083 640 168
1871 1677 144
557 474 117
1958 787 167
434 844 73
2315 1299 72
1438 1262 10
921 1087 128
942 1554 124
29 492 198
2100 1882 24
811 1172 179
1494 91 54
1235 1267 48
2114 2423 146
975 989 23
878 20 84
967 806 195
147 825 42
1090 2099 198
2067 1461 192
574 466 6
1807 2439 197
19 763 145
1727 2016 94
1824 1070 125
1719 370 73
1671 2162 16
326 230 95
1538 1696 31
1550 301 102
795 1062 104
2493 1460 149
1707 2114 170
640 1956 162
152 1911 78
1577 40 23
3 2225 197
1850 1524 113
224 715 172
1809 1621 182
657 799 150
2146 498 67
2444 1949 193
1032 205 96
2295 451 150
1952 82 199
1846 1176 46
1585 1434 101
1900 1568 98
1010 1442 32
1100 2399 175
1888 760 63
1146 730 60
1825 768 167
1469 928 95
850 1797 143
424 2397 18
412 2369 49
782 1334 175
2189 1885 69
469 2426 5
1845 922 161
1912 1423 152
1701 343 31
926 431 52
221 199 128
1481 1906 183
2426 1615 13
1205 693 10
2439 6 67
1667 2172 81
1965 42 27
387 1936 134
752 725 77
293 660 152
597 2028 8
1788 2028 121
806 1128 38
2211 1584 4
138 1984 142
636 1122 78
2279 81 35
2212 2230 54
1931 409 131
2449 1633 142
171 417 64
1819 1316 185
1510 475 142
1886 1409 161
2249 586 179
102 672 106
2402 2297 173
1110 732 188
1671 1026 185
803 1728 147
2189 353 198
990 396 199
2452 2019 174
1258 1720 74
1916 569 84
611 1860 126
97 340 184
1019 1660 119
562 1168 4
667 2439 27
2194 383 77
761 1239 158
1281 1055 79
562 1869 122
674 1099 158
1259 920 146
402 190 17
957 740 126
626 1033 179
422 1217 163
288 709 139
531 2106 91
1300 2070 8
754 1914 57
786 584 149
1094 800 163
607 1167 136
1220 1672 65
100 609 48
1515 415 13
8 123 128
2493 321 200
2399 1272 187
2193 1053 18
25 2489 94
90 189 15
2297 269 147
359 1738 146
1569 798 26
2148 722 38
644 2408 71
2050 47 40
2253 13 21
1432 2477 92
526 346 100
1917 275 57
1178 1873 137
1009 1897 110
133 2359 189
745 5 131
1728 150 120
2369 175 102
862 1756 167
1928 1314 163
2281 1319 129
790 1714 142
724 297 132
341 232 136
633 2083 183
751 145 53
2458 2102 69
1034 774 95
420 1027 84
1534 1783 113
2437 1826 53
813 25 46
797 203 174
2259 1806 78
1359 1112 82
1651 1571 181
1754 2328 160
1217 798 119
219 1278 182
1066 2153 114
1872 1177 187
1875 243 42
510 1598 63
1249 2243 149
93 1037 21
2118 1230 25
1782 2139 107
562 2351 148
1959 1540 106
2482 1469 15
602 317 95
1968 2046 168
40 1164 1
2275 945 200
26 581 18
1825 450 87
675 1258 186
1216 59 76
231 1583 12
38 271 163
1592 29 62
1113 2197 77
2101 2459 172
1692 749 123
199 51 159
729 646 143
2439 1861 74
1978 1494 96
405 2214 33
526 905 96
1722 849 169
585 621 92
2339 1733 120
338 1067 33
2263 1035 32
1138 2195 103
2012 15 43
2270 1335 148
2231 1504 42
607 412 98
2238 603 16
564 618 118
2000 2152 44
39 1783 55
1888 2013 113
1423 1338 175
2092 809 119
1852 778 24
853 1212 31
1590 502 16
2488 2229 30
2422 988 64
2328 1989 78
1715 847 76
83 332 40
120 1670 48
1863 2407 161
1253 906 162
221 1881 42
1551 1340 139
2125 952 6
2441 490 26
1483 105 54
881 1431 12
107 559 188
2052 1328 31
123 748 8
1797 1215 6
2450 407 11
16 1936 189
286 835 114
1524 1477 164
1678 727 123
1708 1030 67
1128 1926 101
749 476 131
258 1414 97
2017 593 106
2252 1808 131
204 548 53
2256 2185 136
595 147 191
537 48 106
608 779 159
1282 247 100
1923 2093 14
309 1553 42
1292 77 125
658 1709 147
2459 1633 64
1628 332 42
180 638 101
1638 910 151
2155 1041 198
1328 1980 47
2140 839 82
899 2293 22
1198 294 14
1207 930 94
352 2317 195
1239 1489 76
1472 422 181
1684 1967 100
2257 610 67
1169 1860 196
2185 429 95
1833 1867 59
267 1964 114
2432 1287 161
667 950 123
261 1384 174
2467 707 147
2475 709 147
1171 821 67
70 1379 128
539 1385 160
268 1979 31
922 192 91
594 1445 10
2008 1041 124
723 648 151
226 2263 183
470 2241 2
2356 306 127
1288 1864 180
467 1979 146
1710 1387 107
2221 644 7
1943 362 184
1439 1818 196
1210 1300 98
1296 1243 53
1368 1641 104
856 1756 53
1857 946 63
498 651 190
66 2206 128
1948 1928 104
1277 1766 76
247 2282 4
816 1764 161
1817 82 178
34 1829 185
204 1945 77
875 2109 136
1903 1436 42
1787 394 121
1415 945 58
413 2305 97
192 1707 27
1217 84 134
2012 977 106
2166 707 99
2419 120 192
25 468 51
2435 1496 176
1576 195 188
466 2263 40
9 2461 83
587 1496 123
1436 1449 160
120 139 67
1374 751 61
1842 2094 149
407 1919 69
213 1066 20
128 1072 115
543 251 150
1729 1262 178
1237 1526 7
466 2284 154
1406 1627 154
166 1546 128
781 2432 181
184 1348 124
1582 1564 145
2250 1927 41
1663 1292 30
2199 1599 179
1228 326 61
1270 181 24
2348 1403 166
1083 424 56
688 1308 10
1331 1092 112
45 1845 76
190 706 157
2225 1218 57
2049 761 81
1651 2089 167
1068 779 174
1344 1549 133
1577 764 199
1836 2117 58
981 2167 62
492 1434 130
1586 251 92
2194 789 89
787 1558 160
1328 1911 27
1291 1242 65
667 75 93
149 1913 93
217 159 28
1160 43 40
164 1449 197
1251 397 197
2179 1609 87
938 304 124
502 2042 46
1131 95 1
1494 2055 195
1705 543 125
70 1082 44
1828 702 103
1524 2039 162
1335 602 6
1901 2233 57
1137 1211 118
94 1978 193
411 1991 9
276 390 70
1392 1140 36
1807 40 174
1070 74 45
1828 1696 137
396 103 117
1508 523 165
2449 9 173
2009 1291 158
48 832 87
1697 907 68
1815 1191 68
606 512 184
2154 1440 27
1943 1930 41
1028 1041 87
944 1548 154
971 611 6
2210 472 72
2243 2333 43
2421 726 82
1719 1589 152
2253 858 66
976 2431 152
1103 751 189
1748 73 91
1220 1218 194
1261 757 93
194 1200 33
1350 1374 144
434 445 57
1987 526 165
1501 2333 23
1646 54 110
896 1748 109
1820 1635 137
624 1245 183
2491 876 147
440 49 166
1463 1169 120
470 2483 114
788 2341 167
134 291 122
637 1178 196
907 1964 50
1621 557 134
2067 956 58
422 462 102
1661 1417 164
1239 879 198
2335 2089 100
471 200 116
367 1466 33
2375 1579 138
1801 349 194
959 1758 72
1559 2183 18
1066 207 21
313 205 3
1698 2137 44
1617 479 107
125 116 74
1161 2179 137
2220 2109 189
283 1822 17
224 213 187
2171 2267 43
269 959 77
2163 2447 182
1754 2205 39
1098 1823 196
1412 1116 188
1222 238 5
579 2141 65
567 1695 132
1866 1757 185
2066 107 66
2001 985 190
403 412 158
1808 1908 28
1187 444 36
613 732 78
2050 1207 2
1436 1047 160
77 1812 109
91 1165 198
2226 1608 84
1416 2378 95
381 356 169
1935 384 12
317 904 149
1701 542 61
1274 224 190
2033 2224 188
679 740 104
1138 2391 64
2178 2302 4
1914 1831 115
1600 499 104
1599 118 191
2369 2375 93
449 1607 185
1349 927 168
736 2408 178
472 2206 31
1421 1846 59
760 599 43
309 2278 67
134 1006 79
2291 312 41
18 403 70
544 849 27
1761 58 64
647 2491 69
1027 887 11
1650 1340 14
163 859 21
438 2316 76
1373 2377 191
1430 556 11
1578 2285 76
936 977 41
1049 1030 191
134 1368 38
2324 446 4
495 587 135
1453 276 142
1926 2202 56
305 2379 192
934 761 126
327 626 91
1690 2208 136
848 720 84
1115 1929 114
2049 527 41
228 1710 67
566 1466 88
1974 1477 151
1154 1954 30
2010 344 1
1272 1112 179
1764 1189 169
3 461 169
2374 167 161
419 2386 2
986 1620 147
1614 1697 190
1895 805 120
1220 1128 89
962 1796 53
1144 91 148
466 1125 85
26 954 193
